1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486363260.dat<>フェリーの魅力 「車が運べる」以外にある？ [無断転載禁止]&#169;2ch.net	 [533895477] (371)
1486549774.dat<>最近のアニメでよく見るこういう　『顔が下向いてる時に口がつーんで出てる可愛い状態』　ってなんて呼べばいいの？ [無断転載禁止]&#169;2ch.net	 [453776637] (315)
1486541486.dat<>【画像】人間の本体がきもすぎる [無断転載禁止]&#169;2ch.net	 [949047195] (142)
1486567670.dat<>ラーメン二郎で食べるスピードが遅いと注意されたラヲタが発狂、怒りのデータベース★2 [無断転載禁止]&#169;2ch.net	 [267850261] (416)
1486543803.dat<>大学生の7割がPCスキルに「自信なし」――「画面をタッチするとカーソルが動くと思い込んでいた」 [無断転載禁止]&#169;2ch.net	 [956093179] (650)
1486577153.dat<>やっぱエロは和物に限るな　洋物は雑でいかん　ﾍﾟﾁｰﾝﾍﾟﾁｰﾝ!! [無断転載禁止]&#169;2ch.net	 [283719136] (5)
1486539315.dat<>行きたくない街ランキング　1位はダントツで名古屋　2位大阪　3位福岡 [無断転載禁止]&#169;2ch.net	 [148959167] (105)
1486463696.dat<>【悲報】韓国なら何でも叩くネトウヨたちが統一協会だけは絶対に批判しないのはなぜなのか？あっ…察し [無断転載禁止]&#169;2ch.net	 [426667459] (227)
1486572771.dat<>【速報】覇権アニメ「けものフレンズ」Blu-ray1巻早くも完売 アニオタよこれがフレンズの力だ [無断転載禁止]&#169;2ch.net	 [888763844] (92)
1486547946.dat<>トランプ批判する奴って、イスラム教徒が隣に引っ越してきて毎日5回アッラーアクバルって唱えてても我慢できるの？ [無断転載禁止]&#169;2ch.net	 [186586446] (126)
1486536710.dat<>ベラジオ店長 懲戒解雇、月収80から無職にｗｗｗしかも刑事告訴で億単位の賠償金発生か [無断転載禁止]&#169;2ch.net	 [388685895] (643)
1486576267.dat<>ほんと寢れない、たすけろ [無断転載禁止]&#169;2ch.net	 [634616482] (26)
1486573584.dat<>【画像】占星術師「エビ中の松野莉奈さんは強い守り神がついてるから長生きする。将来明るい未来が待っているので大丈夫」→18歳で死去 [無断転載禁止]&#169;2ch.net	 [426667459] (71)
1486571100.dat<>唐突にすまんが、おまえらなんで死にたいの？辛いことでもあるのか？ [無断転載禁止]&#169;2ch.net	 [634616482] (23)
1486554719.dat<>【ねたばれ】進撃の巨人、主人公だと思ってたら実は世界を滅ぼそうとする悪人だった [無断転載禁止]&#169;2ch.net	 [816491279] (614)
1486554802.dat<>数学が得意な人ってかっこいいよな。学生時代にもっと数学勉強しておくんだった… [無断転載禁止]&#169;2ch.net	 [596385156] (49)
1486335476.dat<>【おちんぎん】 ついに、いよいよ賃金が上昇する局面に達したとの事 働ける高齢者の減少 [無断転載禁止]&#169;2ch.net	 [219241683] (64)
1486548482.dat<>エビ中・松野莉奈さん18歳で子の世を去る　お前らみたいなゴミクソニートが代わりに死ねばよかったのに… [無断転載禁止]&#169;2ch.net	 [255920271] (167)
1486554169.dat<>【将棋】１対局で４２回離席していた三浦九段、「どうしても言いたい」「あいつだけは許せない」と被害者ヅラ [無断転載禁止]&#169;2ch.net	 [645654656] (49)
1486554590.dat<>ロッテのバレンタインチョコCMの土屋太鳳ちゃん軽く頭おかしい子だろ… [無断転載禁止]&#169;2ch.net	 [204160824] (7)
1486476020.dat<>187/112 血圧って下がらないな…年々上昇してるわ、明け方4時くらいに脈拍上がって目が覚る [無断転載禁止]&#169;2ch.net	 [456241294] (357)
1486547103.dat<>DeNA「まとめサイト停止したら39億円損したんよ…できれば再開したいんよ…」 [無断転載禁止]&#169;2ch.net	 [275723402] (73)
1486365527.dat<>【爆笑必至】あのちょぼらうにょぽみ先生が西野絵本を題材にした漫画描いたぞｗｗｗｗメッチャオモロイｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [819818695] (825)
9245555554.dat<> ２ちゃんねるの運営を支えるサポーター募集 (1)
1486529971.dat<>【速報】「ＦＥヒーローズ」セルランキングでモンストを抜いて２位に浮上残るはスーパーサイヤ人のみ　やっぱり任天堂ってすごい [無断転載禁止]&#169;2ch.net	 [222623506] (288)
1486567919.dat<>“日本一可愛い普通の女子高生”がグラビア登場 [無断転載禁止]&#169;2ch.net	 [368289528] (23)
1486480654.dat<>東芝「消滅」も、過酷な企業解体シナリオ [無断転載禁止]&#169;2ch.net	 [891191923] (59)
1486564166.dat<>blogos「日本のトップである首相が成蹊大学卒はまずい」→ネトウヨ発狂 [無断転載禁止]&#169;2ch.net	 [479913954] (128)
1486475275.dat<>宿泊業界「助けて！春節なのになぜか中国人客が全然来なくなったの！豪華な食事いっぱい発注したのに投げ売り」 [無断転載禁止]&#169;2ch.net	 [479913954] (139)
1486518339.dat<>トランプ氏、安倍首相を別荘に招待 [無断転載禁止]&#169;2ch.net	 [769327952] (28)
1486558869.dat<>任天堂の東大卒達　完全にやらかす　Switchの新しく追加されたゲーム一覧　電話番、ひげそり、ジョイコンまわしなどくだらないものばかり [無断転載禁止]&#169;2ch.net	 [876811395] (708)
1486563783.dat<>tehuくん　死んだエビ中のアイドル使って人脈アピール [無断転載禁止]&#169;2ch.net	 [876811395] (137)
1486539413.dat<>イラン最高指導者「我々はアメリカが悪魔だと30年間言い続けてきたが、トランプ大統領の出現でようやくそれが証明された」 [無断転載禁止]&#169;2ch.net	 [895142347] (22)
1486544657.dat<>両親死亡→慶應卒→弟を養うため電通入社→保険営業で年収数千万→人生に疲れて無職→俳優 [無断転載禁止]&#169;2ch.net	 [509143435] (362)
1486470009.dat<>【嫌儲お絵かき部】一週間後はバレンタイン絵スレ [無断転載禁止]&#169;2ch.net	 [822935798] (43)
1486474639.dat<>軍手って最悪だよな　耐油性も防塵性も欠片も無い。安いだけ [無断転載禁止]&#169;2ch.net	 [399259198] (113)
1486567632.dat<>茨城県警の警察官、自転車の前カゴに入れていた捜査資料を風に飛ばされ紛失 [無断転載禁止]&#169;2ch.net	 [609535295] (16)
1486560921.dat<>俳優の坂口健太郎、急に人気出てきたよな…何やら「韓国人みたいな顔で格好良い！」との評判らしい [無断転載禁止]&#169;2ch.net	 [899382504] (17)
1486567096.dat<>美 味 しんぼで教わった間違った知識 [無断転載禁止]&#169;2ch.net	 [566475398] (372)
1486556055.dat<>【悲報】やっぱり恵方巻棄てられまくっていた・・・・・・・・・・・ [無断転載禁止]&#169;2ch.net	 [388685895] (39)
1486572884.dat<>【訴訟合戦】橋下元大阪市長「中山の情報源は２ちゃんねるｗ」　中山議員「社会的評価を低下させた。反訴する！」 [無断転載禁止]&#169;2ch.net	 [816491279] (33)
1486371162.dat<>自己都合で会社辞めたんだけど失業保険って貰った方がいいんだろうか　待期期間3ヶ月がネックだわ [無断転載禁止]&#169;2ch.net	 [479556552] (96)
1486543433.dat<>39万8千円の新車に注文殺到！レギュラー仕様でオフロードもOK [無断転載禁止]&#169;2ch.net	 [899053353] (384)
1486571620.dat<>オッサン「ゴラァ！」→若者カップル「ドラレコ撮ってるんで」→オッサン「ﾌﾞｩﾝ（逃げ去る」　　やっぱりドラレコって最高だわ・・・ [無断転載禁止]&#169;2ch.net	 [343112701] (96)
1486555112.dat<>本田・ムルコス・パジュサコバ彗星が５年ぶりに地球接近 [無断転載禁止]&#169;2ch.net	 [771738842] (6)
1486541434.dat<>千鶴「イタイ…イタイ…イタイ…」←三ヶ月後「気持ちいい…」女って凄いよな [無断転載禁止]&#169;2ch.net	 [265872647] (68)
1486565937.dat<>がん治療薬「キイトルーダ」お値段1400万円に決定 本国アメリカより30%もお安い [無断転載禁止]&#169;2ch.net	 [609535295] (258)
1486548549.dat<>【速報】安倍総理が強敵トランプに挑む日本の命運を左右する日米会談の濃密なスケジュールが判明！食事→ゴルフ→食事 [無断転載禁止]&#169;2ch.net	 [426667459] (164)
1486398608.dat<>【フランス大統領選】ルペンとマクロンが決選投票へ進みマクロンが圧勝する見込み フィヨンは汚職で死亡 [無断転載禁止]&#169;2ch.net	 [252358651] (102)
1486556680.dat<>埼玉県が嫌儲民に特化した就労支援を開始　面接にもスタッフが同行してくれるゾ！ [無断転載禁止]&#169;2ch.net	 [126042664] (10)
1486558528.dat<>【画像】料理研究家・土井善晴さん「毎日の食事は一汁一菜で良い」　これは旨そう [無断転載禁止]&#169;2ch.net	 [311660226] (443)
1486567932.dat<>NHKさん、秋元康とAKBグループを「豚」だと比喩する。 [無断転載禁止]&#169;2ch.net	 [585351372] (72)
1486389552.dat<>【ドイツ】メルケル終了　所属政党CDUが支持率第2位に転落　シュルツ氏率いる社会民主党の支持率が急伸し1位に [無断転載禁止]&#169;2ch.net	 [253246518] (69)
1486565004.dat<>国のトップが決めたことを、なんでアメリカの裁判所は妨害してるの？ やっぱアメリカってオカシイわ・・・ [無断転載禁止]&#169;2ch.net	 [649874584] (27)
1486553935.dat<>「２週間も便秘なの！」「便秘で１０日もウンコ出て無くテー」　←嘘吐け馬鹿、人体に１０日分の食料が詰まるかよ。 [無断転載禁止]&#169;2ch.net	 [793337701] (308)
1486575348.dat<>【Valve】Half-Lifeって凄いよな。約20年前の作品なのにあのグラフィックと重厚なストーリー [無断転載禁止]&#169;2ch.net	 [792283379] (11)
1486570374.dat<>日本の高齢化が絶望的、「胃瘻」「透析」「寝たきり」ばかりで動ける老人は減少 [無断転載禁止]&#169;2ch.net	 [422186189] (7)
1486568888.dat<>【秋本治】こち亀作者「『響け！ユーフォニアム』や『けいおん！』が好きです。女の子の日情と京都の四季を描きたい」 [無断転載禁止]&#169;2ch.net	 [317044986] (42)
1486457497.dat<>ネットの民草って怒る対象を常に探してるよな　ストレスの発散が目的ではなく怒りそのものを求めてるように思えるのだが [無断転載禁止]&#169;2ch.net	 [539914983] (57)
1486551615.dat<>だ・か・ら…まんさん、ま～ん、中古、便器、きちょまんなどミソジニー語は清純な乙女の心が傷つくから使うなって言ってるだろ [無断転載禁止]&#169;2ch.net	 [899382504] (82)
1486570590.dat<>秋葉原行ったら必ず寄りたい飯食い所は・・・「てんや」以外に何処？ [無断転載禁止]&#169;2ch.net	 [368723689] (78)
1486570141.dat<>高卒で電験三種を取ったケンモメンがすげぇ　高卒パチ屋フリーター　→　年収500万マターリに [無断転載禁止]&#169;2ch.net	 [604460326] (53)
1486552813.dat<>ニートだが一念発起して仕事始めるぞ！月15万は稼いで母ちゃんに何万か渡すんだ！おすすめの仕事教えてくれ！ [無断転載禁止]&#169;2ch.net	 [309635917] (161)
1486559663.dat<>【速報】 運送業界「もう限界」　→ 政府、若者のトラック運転大幅規制へ　普免上限3.5トン [無断転載禁止]&#169;2ch.net	 [399259198] (259)
1486561708.dat<>【神アニメ】けものフレンズは何故覇権アニメとなり得たのか 優しい世界、語録の汎用性etc. [無断転載禁止]&#169;2ch.net	 [888763844] (83)
1486567620.dat<>【並べ師】 警視庁の並べ師、２体のマネキンに着エロ水着を着せたりして、悪質性を際立たせる技法を披露 [無断転載禁止]&#169;2ch.net	 [219241683] (102)
1486572873.dat<>桜井誠がガールズちゃんねるの女性たちの応援に大喜びなされるｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [614156532] (49)
1486571630.dat<>大間のクロマグロ←超高級　函館のマグロ←激安　ひょっとしてこれ同じマグロじゃね？ [無断転載禁止]&#169;2ch.net	 [422186189] (52)
1486554508.dat<>日本で1番偉大なシンガーソングライターって誰なの？松任谷由実？井上陽水？ [無断転載禁止]&#169;2ch.net	 [813468598] (47)
1486542012.dat<>秋田の子供が悲惨過ぎる件　中学生いる生活苦が94パーセント [無断転載禁止]&#169;2ch.net	 [509143435] (53)
1486460999.dat<>【速報】ＥＵ、イギリスに７兆円を要求へ　裏切り者は絶対に許さない模様 [無断転載禁止]&#169;2ch.net	 [354349957] (682)
1486507559.dat<>【悲報】JASRAC玉井「私だと勝つ確率は8割、私に論破されてるようでは、JASRACの顧問弁護士に100%勝てない」 [無断転載禁止]&#169;2ch.net	 [155869954] (482)
1486560958.dat<>創英角ポップ体の罪は重い あのフォントはスーパーの値段表示にしか使わなくていい [無断転載禁止]&#169;2ch.net	 [924940319] (72)
1486550512.dat<>■世界で住みやすい都市2016　大阪が２位　名古屋が７位　東京が１０位にランクイン！ [無断転載禁止]&#169;2ch.net	 [901679184] (170)
1486541955.dat<>米高級車キャデラック、中東・ヨーロッパ・中国での販売が好調. 買わないのは日本人だけ [無断転載禁止]&#169;2ch.net	 [895142347] (201)
1486547405.dat<>今年のバレンタインは男性が自分にチョコを買う「俺チョコ」がブームの兆し。お前らも俺チョコ買うよな？ [無断転載禁止]&#169;2ch.net	 [373996372] (84)
1486564188.dat<>沖縄、独立準備進む　日中友好協会が設立され、中国大使が演説 [無断転載禁止]&#169;2ch.net	 [455830913] (18)
1486566931.dat<>ダウンを着てる人、これを見てもダウンを着続けられますか？　強制給餌、生きたまま羽毛採取　君らのダウンウェアはこうして作られる [無断転載禁止]&#169;2ch.net	 [511393199] (104)
1486567007.dat<>小学四年生男子が書いたお嫁さんの作文が女性蔑視教育の結果だとまんこ大炎上 [無断転載禁止]&#169;2ch.net	 [579392623] (151)
1486541482.dat<>「保育士の最大の敵」は園長・経営者。４４歳にして初めて給料が２０万円を超えた赤嶺良江さん。 [無断転載禁止]&#169;2ch.net	 [793337701] (20)
1486566394.dat<>ワイモバイルの「Android One」3機種は結局どれが良い？ [無断転載禁止]&#169;2ch.net	 [891191923] (22)
1486564554.dat<>松野莉奈さん「高熱が出た。解熱剤飲んで頑張るぞぃ！」→インフルエンザ脳症発病　死にたくなければタミフルを飲め [無断転載禁止]&#169;2ch.net	 [649717704] (159)
1486390156.dat<>娘が保育園に落ちた母親（杉並区･28歳）｢共働きを前提に35年ローンで家を買ったばかりなのよ！家を売って引っ越せって言うの！？｣ [無断転載禁止]&#169;2ch.net	 [597533159] (602)
1486465836.dat<>【速報】 東洋ゴム、またまたまたまた不正発覚　免震→防振に続き今度は船舶用シートリングゴム [無断転載禁止]&#169;2ch.net	 [399259198] (59)
1486358251.dat<>日弁連「安倍政府の共謀罪は戦争する独裁国家をつくるためで一般人に適用しないは罠です」…山下幸夫弁護士 [無断転載禁止]&#169;2ch.net	 [771738842] (72)
1486349514.dat<>スルメイカが暴騰 卸値が例年の3倍以上になることも [無断転載禁止]&#169;2ch.net	 [402859164] (89)
1486437516.dat<>沖縄に強い弁護士「反基地運動は県外の人間がやっている事！ソース？ネットの動画。現地に行く必要はない」 [無断転載禁止]&#169;2ch.net	 [204160824] (34)
1486477812.dat<>【動画】安倍総理のブチギレ発狂動画がヤバイ…「極めて私は不愉快ですよ！極めて私は不愉快ですよ！これはデマって言うんですよ！」 [無断転載禁止]&#169;2ch.net	 [426667459] (144)
1486550703.dat<>釣りを趣味にしてる奴やばすぎだろ… [無断転載禁止]&#169;2ch.net	 [987524678] (697)
1486516388.dat<>【悲報】処女厨を一発で黙らせる画像が流出 [無断転載禁止]&#169;2ch.net	 [388685895] (321)
1486537467.dat<>ザ・ゴールドマン・サックス　株式トレーダ　600→2人に　自動売買で人間不要　←世界の頂点がこれ、個人が太刀打ち出来る余地皆無 [無断転載禁止]&#169;2ch.net	 [592145473] (840)
1486556251.dat<>さっき気づいたんだが、「スマホ」じゃなくて「スマフォ」なのでは？ [無断転載禁止]&#169;2ch.net	 [231982652] (190)
1486574096.dat<>【夜食スレ】「卵かけご飯」の美味しい食い方 [無断転載禁止]&#169;2ch.net	 [368723689] (42)
1486555097.dat<>青森県民だけど富山県と福井県は下だと思っていいのか？ [無断転載禁止]&#169;2ch.net	 [828328212] (30)
1486567952.dat<>プログラミングの勉強ってどこですればいいの？初心者はC言語から？ [無断転載禁止]&#169;2ch.net	 [777715876] (47)
1486574074.dat<>日本って識字率も大学進学率も高い割に&quot;'血液型判断&quot;みたいな疑似科学が未だに人気だョね [無断転載禁止]&#169;2ch.net	 [792283379] (19)
1486571946.dat<>【顔面セーフにご用心】よく考えたらドッジボールって野蛮すぎる… [無断転載禁止]&#169;2ch.net	 [818967775] (19)
1486479132.dat<>「憲法は時代にあっていない」6割超　その前に君が代（初出 古今和歌集）←これ変えろよｗ [無断転載禁止]&#169;2ch.net	 [743790983] (78)
1486548225.dat<>170cm70kgなんだがダイエットしようとしたらJD(20歳本田翼似)のセフレに｢お腹プニプニの方が好き～｣って言われて辛いんだがw [無断転載禁止]&#169;2ch.net	 [875920232] (18)
1486572804.dat<>【夜食】うみのさち(´・ω・｀) [無断転載禁止]&#169;2ch.net	 [656393927] (63)
1486562543.dat<>キツツキが本気出した結果ｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [327876567] (76)
1486463878.dat<>嫌儲グラブル部 [無断転載禁止]&#169;2ch.net	 [469226128] (881)
1486565401.dat<>誰も言わないけど豊洲市場問題ってどうでも良くね？なんでこんな騒いでんの？ [無断転載禁止]&#169;2ch.net	 [596385156] (162)
1486473406.dat<>ストライクウィッチーズ総合～黒人寿司職人ルッキーニの気まぐれうんちサラダ432円税込と下原定子の一本糞ブリトー216円税込 [無断転載禁止]&#169;2ch.net	 [615019964] (49)
1486528522.dat<>淡路島５人刺殺の被告「本当の被害者は私。ブレインジャックされ、工作員に犯罪を仕組まれた」「精神工学戦争に巻き込まれた」 [無断転載禁止]&#169;2ch.net	 [754822482] (41)
1486504165.dat<>【画像】女ってスゴいよな、セックスの時は恥ずかし気も無くひっくり返ったカエルのポーズ取れるんだぜwww [無断転載禁止]&#169;2ch.net	 [875920232] (256)
1486537955.dat<>（ヽ´ん`） 「ローソンの300円定食。ぜんぶ半分ぐらい食って残りは捨てるから実質150円で食える。」 [無断転載禁止]&#169;2ch.net	 [977261419] (361)
1486523463.dat<>焼肉業界「ぶっちゃけ霜降り肉って美味しくなくね？ うまいと思おうとしてるだけだろ」 [無断転載禁止]&#169;2ch.net	 [924244191] (835)
1486556999.dat<>もう３３のオサーンなのに２０歳と恋愛したいんだが、アドバイスもしくは厳しい叱責をたのむ [無断転載禁止]&#169;2ch.net	 [634616482] (329)
1486467563.dat<>坂本龍一　「学食で一人でご飯食べてる人を見るとすごく不愉快。無遠慮」 [無断転載禁止]&#169;2ch.net	 [829826275] (50)
1486440036.dat<>安倍ちゃん天下りに激怒 「あってはならないこと。徹底的に追及する」 [無断転載禁止]&#169;2ch.net	 [533895477] (61)
1486422468.dat<>【速報】統一協会が信者に高額な物品を買わせたとして賠償命令→弁護士「なぜ国は野放しなんですか？」→安倍「…」 [無断転載禁止]&#169;2ch.net	 [582949951] (129)
1486466268.dat<>実際のところ韓国ってそこまで悪い国なのか？世界で数少ない日本と気質が似てる国だと思うんだけど [無断転載禁止]&#169;2ch.net	 [453082177] (234)
1486456243.dat<>何故アニメのBD/DVDが全く売れないのか・・・放送すればツイッターではトレンドに入りニコ動の再生数も鰻上りなのに・・何故なんだ [無断転載禁止]&#169;2ch.net	 [222623506] (537)
1486536904.dat<>【朗報】鳥取県に移住する人が激増中！　知事「ドンキは無いけどノンキがあるし、松屋は無いけど松葉ガニあるよ」 [無断転載禁止]&#169;2ch.net	 [255920271] (105)
1486469900.dat<>外国人観光客、ホテルに泊まらない　一方で新しいホテルが開業しまくっているため、ホテル料金が大幅下落中 [無断転載禁止]&#169;2ch.net	 [468628276] (37)
1486478996.dat<>【交易】 日本、アメリカの貿易赤字国２位に浮上！ドイツを抜く このタイミングで [無断転載禁止]&#169;2ch.net	 [219241683] (25)
1486566254.dat<>「アホガール」 アニメ化。バナナ大好きなアホ少女の漫画 [無断転載禁止]&#169;2ch.net	 [275723402] (26)
1486558472.dat<>【青函トンネル】 建設から半世紀経過し、一部に歪みが発生 第二青函トンネル(工費３９００億､期間１５年)構想も [無断転載禁止]&#169;2ch.net	 [219241683] (94)
1486572987.dat<>【ファッション】Fine3月号は表紙外国人リストラ。ついでにカリフォルニア特集 [無断転載禁止]&#169;2ch.net	 [565250761] (8)
1486548204.dat<>新幹線2時間1万円、高速バス6時間5000円ならどっち乗る？ [無断転載禁止]&#169;2ch.net	 [479556552] (293)
1486565578.dat<>釘宮理恵ちゃんの最新画像が到着！これもう天使だろ… [無断転載禁止]&#169;2ch.net	 [846576927] (55)
1486457878.dat<>日本が没落すればするほど、既得権益層はしがみつくから階層は固定されるだろ？もうだめぽ。。どうすればいいの？ [無断転載禁止]&#169;2ch.net	 [634616482] (31)
1486568947.dat<>「残業は無制限」　日本企業の36%ｗｗｗｗｗｗｗｗｗｗ　 [無断転載禁止]&#169;2ch.net	 [422186189] (13)
1486566291.dat<>小学生ながらポール・ギルバートやドリームシアターを完コピする天才美少女ギタリストが全世界デビュー [無断転載禁止]&#169;2ch.net	 [389326466] (73)
1486505895.dat<>実写版「ジョジョ」 ビジュアル公開ッ！やめたほうが… [無断転載禁止]&#169;2ch.net	 [275723402] (551)
1486557990.dat<>JASRAC玉井「 攻撃、５時以降に活発化。彼らにも「勤務時間」があるのか。 もう少しまじめに「仕事」をした方がいいのではないか。 」 [無断転載禁止]&#169;2ch.net	 [434596658] (249)
1486354270.dat<>「湘南」に住んでる人が悲惨すぎる　これ罰ゲームだろ [無断転載禁止]&#169;2ch.net	 [479556552] (271)
1486390216.dat<>中小企業「残業、36協定で無制限に決まってんだろ」ＩＴ（情報技術）や宿泊・飲食業で特別条項を結ぶケースが目立つ。←納得。 [無断転載禁止]&#169;2ch.net	 [715715613] (30)
1486568635.dat<>【豪韓スワップ】　豪韓通貨スワップ拡大・延長に韓国ネット湧き上がる　「日本とではなくて正解！我々の友はアングロサクソンだけだ！」 [無断転載禁止]&#169;2ch.net	 [621794405] (93)
1486517365.dat<>【速報】裏金問題で東京地検特捜部が竹田JOC会長らから任意聴取 [無断転載禁止]&#169;2ch.net	 [418642222] (37)
1486487568.dat<>ロシア政府「国民の皆さん、択捉・国後島に移住しませんか？お金は日本が出してくれます」 [無断転載禁止]&#169;2ch.net	 [895142347] (62)
1486527058.dat<>ニンテンドースイッチ　メモリは4GB　GPUはMaxwellとリークされる [無断転載禁止]&#169;2ch.net	 [803695634] (381)
1486527318.dat<>【くぱぁや】三鷹ストーカー事件 トーマス池永 懲役22年確定 [無断転載禁止]&#169;2ch.net	 [208420191] (616)
1486542107.dat<>「寸止めオナニー」ってすげぇ気持ちいいぞ、何回でも射精の快感を味わえる [無断転載禁止]&#169;2ch.net	 [604048985] (86)
1486507370.dat<>安倍「おい！」ピケティ「…」安倍「公務員の給料を民主の時より5％以上上げたが一向にインフレにならんのだが？」ピケティ「…」 [無断転載禁止]&#169;2ch.net	 [786648259] (296)
1486542408.dat<>実は喫茶店って儲かるんじゃないか？昔からある個人店が全然潰れない。大体ｺｰﾋｰ1杯400円って原価いくらだよ [無断転載禁止]&#169;2ch.net	 [604460326] (294)
1486453179.dat<>【悲報】安倍総理「私は天下りを絶対に許さないわけであります！でもね…天下りを刑事罰の対象にするのはやめませんか？」 [無断転載禁止]&#169;2ch.net	 [582949951] (266)
1486540994.dat<>【画像有り】32歳東大生「東大に入ったのに年齢制限に引っかかって就職できない詰んだ」 [無断転載禁止]&#169;2ch.net	 [509143435] (474)
1486456748.dat<>天下り斡旋の前川前文科省事務次官「責任を痛感！万死に値する！」→「じゃあ退職金も返納するの？」→前川氏、質問を華麗にスルー [無断転載禁止]&#169;2ch.net	 [452836546] (41)
1486385050.dat<>【悲報】６７歳ジャップオス「わしは高校時代毎日バイトして自費で大学に行った、そういう若者は近頃いないの？全く…」と毎日新聞で投稿 [無断転載禁止]&#169;2ch.net	 [899382504] (440)
1486476238.dat<>けものフレンズ　第５話「こはん」　いつの間にか嫌儲公認アニメになってしまったな [無断転載禁止]&#169;2ch.net	 [362540416] (227)
1486511311.dat<>アパホテル抗議デモに参加していた在日中国人、「右翼による妨害よりも、日本人への感動が勝ちました」 [無断転載禁止]&#169;2ch.net	 [507895468] (46)
1486561212.dat<>NHKレイプ記者、前勤務地の山梨でもレイプしていた　ザーメンのDNAが一致 [無断転載禁止]&#169;2ch.net	 [455679766] (468)
1486388891.dat<>東京への大学集中、是正検討　地方の若者は地方の大学に行き、地方で就職するのが『地方創生』 [無断転載禁止]&#169;2ch.net	 [593776499] (497)
1486555118.dat<>【JASRAC】　誰かの著作を利用したら著作権料払う、ってのは当たり前の話じゃないの？2 [無断転載禁止]&#169;2ch.net	 [654328763] (16)
1486562970.dat<>ダムをなめていた美人女子大生　川の真ん中に取り残され溺死　これ完全にあの事件と同じ構図だろｗ [無断転載禁止]&#169;2ch.net	 [876811395] (112)
1486559515.dat<>ソマリアで大統領選　テロ警戒のため国会議員が空港の格納庫に集まり投票　直接選挙への夢遠く [無断転載禁止]&#169;2ch.net	 [797646222] (6)
