1487052163.dat<>弁護士チンポ切断事件、懲役4年6カ月の実刑判決で被告人の控訴棄却 [無断転載禁止]&#169;2ch.net	 [892356801] (40)
1487023870.dat<>【致死性不整脈】エビ中・松野莉奈、やはり心電図を撮っていれば助かってた可能性 [無断転載禁止]&#169;2ch.net	 [718678614] (139)
1487038829.dat<>パンパンになったクジラ600頭が浅瀬に ガス爆発の恐れ [無断転載禁止]&#169;2ch.net	 [952522887] (133)
1486890399.dat<>アパホテル問題って一瞬で鎮火したよな　なぜ我々は負けたのか・・・ [無断転載禁止]&#169;2ch.net	 [743790983] (67)
1487047003.dat<>月９「突然ですが、明日結婚します」史上最低の視聴率を更新、なぜ恋愛ドラマは飽きられたのか？ [無断転載禁止]&#169;2ch.net	 [538835723] (165)
1487052275.dat<>左翼「オスプレイ堕ちろ！自衛官死んでくれ！原発また爆発しろ！」　←割とマジで思ってそうだよな… [無断転載禁止]&#169;2ch.net	 [989661427] (12)
1486997618.dat<>寝る前におシコシコするべきか、おシコシコせずに寝るべきか、それが問題だ、アドバイスをよこせクズども [無断転載禁止]&#169;2ch.net	 [634616482] (51)
1487051016.dat<>BSで『Mr.ビーン』見てるけど知的障害者の俳優使って笑いとるとかいくらイギリスとはいえ下品すぎるだろ… [無断転載禁止]&#169;2ch.net	 [875920232] (76)
1487035035.dat<>中国人「iPhoneなど高いスマホを持って自慢する時代は終わった。スマホは性能が良くて安ければそれで充分」 [無断転載禁止]&#169;2ch.net	 [468628276] (153)
1487052224.dat<>「主人公を延々と苦しませるカタルシスこそ至高！」って作者いるけど、最後の最後だけ逆転しても読んでる方は辛いんだよ。 [無断転載禁止]&#169;2ch.net	 [793337701] (10)
1487033414.dat<>【速報】東海道線で架線が燃えて緊急停車している模様 なんか日本のインフラが急速に劣化してないか [無断転載禁止]&#169;2ch.net	 [694652279] (76)
1487037059.dat<>【速報】東京五輪の入場にマイナンバーカード必須化　※日本国民限定 [無断転載禁止]&#169;2ch.net	 [294663652] (303)
1487047591.dat<>ケンモメンも認める安倍晋三のいいところってなに？ [無断転載禁止]&#169;2ch.net	 [533895477] (87)
1486973227.dat<>楽天「楽天カードは人気なのに…なんでお前ら楽天市場使わないの？」 [無断転載禁止]&#169;2ch.net	 [533895477] (556)
1487039691.dat<>長井秀和「清水富美加さん、創価学会に改宗したらどうですかね？開けて行くと思いますよ。手始めに聖教新聞を一ヶ月無料贈呈しますね」 [無断転載禁止]&#169;2ch.net	 [234053615] (571)
1486816630.dat<>最高に面白い漫画が発見される [無断転載禁止]&#169;2ch.net	 [339454773] (286)
1487050886.dat<>ASKAさん、明日16時50分から放送の福岡ローカル番組「ももち浜ストア」に生出演　新曲「FUKUOKA」を熱唱予定 [無断転載禁止]&#169;2ch.net	 [975468387] (6)
1487050500.dat<>母親「はい、チョコ」 （ヽ´ん`）「余計なことしないで」 母親「ごめんね、ケンちゃんが喜ぶと思ったから…」 （ヽ ´ん`）「食べる」 [無断転載禁止]&#169;2ch.net	 [452836546] (70)
1486977706.dat<>千代田区民「ワンルームマンション建設反対。6畳の部屋にどんな人が住むのやら。地元民賛成する人誰もなし」 [無断転載禁止]&#169;2ch.net	 [741292766] (741)
1487030018.dat<>井上公造が清水富美加に激怒「契約違反ですよ？信じられません！どれだけの人が迷惑を被るか！」 [無断転載禁止]&#169;2ch.net	 [716042168] (336)
1487043778.dat<>「SEALsすごい」「米軍基地反対」などの生徒の感想文をブログに掲載した高校教師　自民のサイトにチクられて問題に [無断転載禁止]&#169;2ch.net	 [649717704] (145)
1487001574.dat<>【朗報】幸福の科学が大正義だと話題に。ここまで信者を守ってくれる宗教は他にないだろ [無断転載禁止]&#169;2ch.net	 [596385156] (222)
1487024920.dat<>ちばあきお「キャプテン」連載再開 [無断転載禁止]&#169;2ch.net	 [469534301] (178)
1487048624.dat<>駅に貼ってある桜井日奈子のポスターって卑怯だよな。あんなの見せられたら好きになっちゃうじゃん… [無断転載禁止]&#169;2ch.net	 [741292766] (51)
1487051712.dat<>秋田市の除雪追いつかず市民から苦情相次ぎ新たに除雪費１０億追加補正！ [無断転載禁止]&#169;2ch.net	 [771738842] (22)
1487000660.dat<>防衛省、「戦闘で１５０人死傷」と記載された日報を公表　稲田どうすんの？ [無断転載禁止]&#169;2ch.net	 [593776499] (227)
1487043003.dat<>【悲報】世論調査、安倍閣下によるテロ等準備罪 必要４６％ 必要でない１４％、どちらとも言えない２９％、嫌儲民また負けたのか… [無断転載禁止]&#169;2ch.net	 [434596658] (85)
1487052331.dat<>簡単にアスペ認定してくる奴ってなんなの？人を傷つけてる自覚ないのかよ… [無断転載禁止]&#169;2ch.net	 [533895477] (3)
9245555554.dat<> ２ちゃんねるの運営を支えるサポーター募集 (1)
1487049269.dat<>結局のとこプリウスやアクアのようなハイブリッド車ってどうなの 社用ならともかく私用はだめ？ [無断転載禁止]&#169;2ch.net	 [533895477] (12)
1487040941.dat<>（ヽ´ん`）「ステーキなんて肉買って家で焼いたほうがコスパいいぞ」俺（確かにそうか・・・でもなんか違う　何がちがうんだ・・・） [無断転載禁止]&#169;2ch.net	 [222623506] (334)
1486857189.dat<>【参議院議員】民進党・小西ひろゆき「自分のミスで天ぷらを床に落とした。店が負担すべき」 [無断転載禁止]&#169;2ch.net	 [252536665] (531)
1487040273.dat<>今をときめく人気芸能人・星野源さん「けものフレンズOPは良い曲。１日６０回は聞いてますねｗ」←どうすんだよ、これ… [無断転載禁止]&#169;2ch.net	 [899382504] (167)
1486881692.dat<>なぜ『サブカル』と『オタク』は対立概念となったのか？「サブカル」という言葉を攻撃的ニュアンスで使うオタクたち [無断転載禁止]&#169;2ch.net	 [157470334] (917)
1486875848.dat<>声優の東山奈央さんのデビューイベントに集まったファンの皆様をご覧ください [無断転載禁止]&#169;2ch.net	 [899382504] (253)
1487035770.dat<>フランスのスマホメーカーWiko(ウイコウ)が14800円のSIMフリースマホ「Tommy」を新発売。ポップでカラフルだぞ [無断転載禁止]&#169;2ch.net	 [169521961] (290)
1487051411.dat<>イーロン・マスク「脳に電極を刺して人工知能と戦える人間をつくる」 [無断転載禁止]&#169;2ch.net	 [895142347] (19)
1486969546.dat<>けものフレンズ アプリ,漫画に続き毎週やってたラジオも隔週に縮小する事を先程発表,流行れば流行るほど規模を縮小するという謎の行動へ [無断転載禁止]&#169;2ch.net	 [116626523] (457)
1486987371.dat<>清水富美加さん、引退の原因はアニメのせいだった。　「人肉を食べる演技」←アニメ原作映画でした [無断転載禁止]&#169;2ch.net	 [373996372] (32)
1487044989.dat<>J( 'ｰ`)し　「ひろちゃん、パート先でチョコ買ってきたの。バレンタインデーだから女の子から、もうもらってるわよね？ [無断転載禁止]&#169;2ch.net	 [599951212] (12)
1486981201.dat<>北朝鮮弾道ミサイル発射動画公開　空中でミサイルに点火するSLBMのコールドローンチを習得した模様 [無断転載禁止]&#169;2ch.net	 [409530383] (77)
1486990225.dat<>【速報】水谷豊さん「今まで相棒で色々と言われていましたが、仲の悪かった相棒はいませんよ！」 [無断転載禁止]&#169;2ch.net	 [716042168] (39)
1486809614.dat<>【パズドラ】パズル＆ドラゴンズ [無断転載禁止]&#169;2ch.net	 [948420899] (303)
1486889551.dat<>台湾人「日本で電車に乗ると、駅員は優しいのに、乗客は不親切。日本人は仕事上の義務として、上っ面が優しいだけ。台湾人は心から親切」 [無断転載禁止]&#169;2ch.net	 [147827849] (891)
1487030684.dat<>【悲報】デレマス信者、アイドルが韓国人の肉便器にされるNTRジャンルに目覚め始める [無断転載禁止]&#169;2ch.net	 [614257247] (73)
1486998587.dat<>横浜市教育委員会「１５０万恐喝な、あれ弁護士に聞いたらイジメなんだってさ。」 [無断転載禁止]&#169;2ch.net	 [793337701] (104)
1486939029.dat<>【悲報】防衛省の関係者「稲田朋美がお花畑すぎてツライ…組織のトップが稲田では自衛隊員たちに示しがつかない」 [無断転載禁止]&#169;2ch.net	 [716042168] (341)
1487030221.dat<>【悲報】国がゴミの撤去費用8億円を値引いてくれた安倍晋三記念小学校、実際のゴミの撤去費用は1億だったｗｗｗ [無断転載禁止]&#169;2ch.net	 [204160824] (621)
1486914427.dat<>【反省会】NHKスペシャル『見えない“貧困” ～未来を奪われる子どもたち～』★3 [無断転載禁止]&#169;2ch.net	 [649717704] (56)
1487038674.dat<>タコ←宇宙生物だった　学術誌ネイチャーにて公表　ガチです　&#128025; [無断転載禁止]&#169;2ch.net	 [649717704] (459)
1487041803.dat<>クロネコヤマトの新サービス、在宅時間を入力すると不在がわかり無駄な配達が減る 宅配員と人妻の不倫が捗りそう [無断転載禁止]&#169;2ch.net	 [843246759] (166)
1486903739.dat<>ひらがなでいい言葉をわざわざ漢字に変換するのやめろ [無断転載禁止]&#169;2ch.net	 [987524678] (407)
1486996994.dat<>嫌儲グラブル部 [無断転載禁止]&#169;2ch.net	 [469226128] (362)
1486991993.dat<>日本国債保有額、中国が世界一位に [無断転載禁止]&#169;2ch.net	 [479913954] (114)
1487048030.dat<>加藤英美里、おばあさんに親切にして怒られる [無断転載禁止]&#169;2ch.net	 [208420191] (163)
1487047886.dat<>おまえら免許とらない都民批判するけど、東京での取得費用や、移動したときの駐車料金、公共交通の安さ知らないだろ [無断転載禁止]&#169;2ch.net	 [716259949] (60)
1487036293.dat<>清水富美加さん「ぺふぺふ病」だった！『悩みもなく余裕があるように見えるが、やる気が出ず生きてる感じがしない』恐ろしい病気 [無断転載禁止]&#169;2ch.net	 [952522887] (157)
1486902151.dat<>アイドルマスターSideMアニメ化決定！！ [無断転載禁止]&#169;2ch.net	 [254871516] (295)
1487041036.dat<>字は綺麗に書けなきゃ駄目派　VS　自分がわかりゃいい派　頭がいい確率が高いのは？ [無断転載禁止]&#169;2ch.net	 [252835186] (150)
1487039127.dat<>「誰か 誰か　気付いてくれてますように」清水富美加さん、仮面ライダー出演時に母に捨てられ5000万の借金を背負う父と暮らしていた [無断転載禁止]&#169;2ch.net	 [372989558] (65)
1486893920.dat<>カンボジア人「超迅速で収賄漬けの中国企業と意思決定が遅く融通が効かない日本企業。日本が勝てるわけないよね？お話にならない！」 [無断転載禁止]&#169;2ch.net	 [479913954] (33)
1487022036.dat<>日本で重婚しようとした男、女の親族にバレて監禁されたため助けを求める騒ぎに [無断転載禁止]&#169;2ch.net	 [275723402] (224)
1487033306.dat<>中２女子が11日にいじめで自殺。最近中学生の自殺が多すぎなイカ？なんでなの。報道されなかっただけ？ [無断転載禁止]&#169;2ch.net	 [359394819] (69)
1487038352.dat<>最近のネトウヨはこんなのでシコッてるらしぃ。ジャップさあ…、やっぱ頭おかしいよ [無断転載禁止]&#169;2ch.net	 [615019964] (30)
1487041077.dat<>オラついたフェアレディーZが自転車と衝突 Zが大破 [無断転載禁止]&#169;2ch.net	 [609535295] (169)
1487044559.dat<>安倍首相「TPPのためにトランプを説得してくる！」 → ゴルフ → 安倍首相「日米FTAが国益になるならそれでいい」 [無断転載禁止]&#169;2ch.net	 [545512288] (116)
1487003193.dat<>【動画】美人声優の茜屋日海夏さんと黒沢ともよさんコンビ、お渡し会に来たキモオタの物真似小芝居を行う [無断転載禁止]&#169;2ch.net	 [899382504] (25)
1487037322.dat<>さまぁ～ず三村←ここまで芸人一の老害化するとは思わなかったよね、年取った馬鹿にツイッターやらせた結果がこれ [無断転載禁止]&#169;2ch.net	 [875920232] (39)
1487048180.dat<>女版SASUKEの「KUNOICHI」 視聴率9.1% エロで釣れるのは嫌儲民くらいだと判明 [無断転載禁止]&#169;2ch.net	 [538835723] (76)
1487051703.dat<>コンタックのCMの広瀬すずってめっちゃ眉毛が濃くて繋がってるように見える それでもかわいいけど [無断転載禁止]&#169;2ch.net	 [391871308] (7)
1486940884.dat<>【悲報】医学部生とのSEX報告をツイッターで誤爆したミス横国の本多真実さん、何故か有名ヤリマン垢とリプのやり取りをする [無断転載禁止]&#169;2ch.net	 [358365276] (807)
1487019640.dat<>【速報】ツイッターでマジで泣ける画像が話題に・・・すまん、涙いいっスか・・・ [無断転載禁止]&#169;2ch.net	 [838559742] (268)
1487042861.dat<>子どもが歯ブラシで喉を突くのがブームに [無断転載禁止]&#169;2ch.net	 [594632409] (11)
1487047652.dat<>半額以下のゲロ安で家が買えたらしい。ただし、“事故物件”のいわくつき。 [無断転載禁止]&#169;2ch.net	 [793337701] (67)
1486998372.dat<>【ネトウヨ悲報】「左翼だ」「公安に知らせてる」とパワハラを受け青林堂を訴えた問題、ヤフコメに青林堂擁護の声ほぼ無し [無断転載禁止]&#169;2ch.net	 [718678614] (100)
1487005141.dat<>ニンテンドースイッチをヤフオクで出品している出品者が子供思いすぎて泣ける [無断転載禁止]&#169;2ch.net	 [233450366] (89)
1486886969.dat<>キボンヌとか漏れとか言ってた人達って今どこに行ったの？ [無断転載禁止]&#169;2ch.net	 [813468598] (381)
1487045423.dat<>女「牛丼を食べる動画を見て恋愛感情を持った」　動画からユーチューバーの住所を割り出しストーカーして逮捕 [無断転載禁止]&#169;2ch.net	 [594632409] (52)
1487050860.dat<>「( ヽ´ん`)」　こいつ、ニューソ君と違ってあんまコピペやＡＡが出てこないね。 [無断転載禁止]&#169;2ch.net	 [793337701] (14)
1486984480.dat<>【amazon】プライムビデオのオススメ映画を教え合うスレ [無断転載禁止]&#169;2ch.net	 [252536665] (816)
1486970729.dat<>【衝撃】安倍総理「日本で働く外国人を増やしまくれ！」→外国人「月給10万円でも日本で働きたい…」 [無断転載禁止]&#169;2ch.net	 [716042168] (42)
1486992481.dat<>真夏の夜の淫夢 [無断転載禁止]&#169;2ch.net	 [691974599] (538)
1486977305.dat<>町山智浩「山本一郎が100億稼いだホワイトヒルズLCCって会社が世界の何処にも登記がないんだが★7 [無断転載禁止]&#169;2ch.net	 [595795797] (307)
1487050522.dat<>テレビ「デモ参加者には日当が出ている」→ 市民「マジで！？みんなで行って金貰おうぜｗ」 [無断転載禁止]&#169;2ch.net	 [895142347] (5)
1486936690.dat<>日本人が結婚しなくなった理由が明らかに [無断転載禁止]&#169;2ch.net	 [479556552] (867)
1486996447.dat<>部下を潰しながら出世する「クラッシャー上司」の実態、おまえらの会社にもいるだろ？ [無断転載禁止]&#169;2ch.net	 [634616482] (66)
1486872893.dat<>Tehuくん｢日本の政治家はダサすぎる！安倍首相の支持集会をプロデュースして｢Prime minister! Shinzou Abe!｣って登場させるw｣ [無断転載禁止]&#169;2ch.net	 [875920232] (140)
1486853987.dat<>【悲報】ロシアさん北方領土の島に日本の降伏文書にサインした軍人の名前を命名「3000億プレゼントした結果がこれなのか…？」 [無断転載禁止]&#169;2ch.net	 [716042168] (80)
1487043818.dat<>なぜ神は男の肉体を屈強に、女の体を脆弱に作ったんだ？逆だったらなんの問題も無かったはずなのに [無断転載禁止]&#169;2ch.net	 [418642222] (39)
1487046058.dat<>気軽にハグできる友達が欲しい。 [無断転載禁止]&#169;2ch.net	 [769327952] (18)
1487024259.dat<>千葉市、今夏からコンビニのエロ本の表紙を隠す事が明らかに。オリンピック対策 [無断転載禁止]&#169;2ch.net	 [275723402] (276)
1487038755.dat<>【炎上】早稲田大学ヤリサー疑惑、迷惑・猥褻行為の画像が新たに大量流出！疑似フェラ、不衛生バカッター、卑猥プリクラなど [無断転載禁止]&#169;2ch.net	 [925815152] (34)
1487009035.dat<>日本ってなんで愛国左翼が少ないんだろうか　日本を腐らせてる原因だと思う [無断転載禁止]&#169;2ch.net	 [367148405] (987)
1487044839.dat<>【遅報】のん（能年玲奈）も月収5万円だった。下着も買えない生活 [無断転載禁止]&#169;2ch.net	 [716259949] (188)
1486986845.dat<>高畑裕太の女弁護士独立 [無断転載禁止]&#169;2ch.net	 [609535295] (25)
1487041684.dat<>【悲報】坂上忍「僕も同じ５万だった」→坂上デビュー時の大卒初任給が39900円だったことが判明 [無断転載禁止]&#169;2ch.net	 [388685895] (108)
1486976121.dat<>【速報】「左翼！左翼！お前を公安に知らせてやる！」パワハラを受けていた青林堂の従業員が慰謝料を求めて提訴へ [無断転載禁止]&#169;2ch.net	 [716042168] (435)
1487050631.dat<>恋人にしたい男性ランキング発表、30代40代が上位独占、なぜおっさんはモテるのか？ [無断転載禁止]&#169;2ch.net	 [538835723] (7)
1487040465.dat<>また月給５万のレプロタレントが発掘される 「5万ですね、どれだけ働いても片手の金額だよ」 給料日前は夕飯に98円のベビースター [無断転載禁止]&#169;2ch.net	 [388685895] (210)
1487041800.dat<>（ヽ´ん`）「散髪に毎月通うとかコスパ悪すぎ。ツーブロックくらいなら自宅で出来る。ホレ。」 [無断転載禁止]&#169;2ch.net	 [585351372] (300)
1487002093.dat<>安倍ぴょん「オバマは俺に冷たくてマジ最悪だった。トランプは次来たときはホワイトハウスに泊まってけって言ってくれた」 [無断転載禁止]&#169;2ch.net	 [427372145] (873)
1487004160.dat<>ニコン高級コンデジ「DL」発売中止でTwitterに悲鳴広がる [無断転載禁止]&#169;2ch.net	 [455679766] (142)
1487041150.dat<>稲田朋美のファッションについて評論家「ババア無理すんな」 [無断転載禁止]&#169;2ch.net	 [649717704] (27)
1487049607.dat<>いい加減、寝ながらネットできるデバイスできないものか。 [無断転載禁止]&#169;2ch.net	 [716259949] (17)
1487037796.dat<>結婚していることを隠して独身女性と披露宴を開こうとした警察官を減給処分 [無断転載禁止]&#169;2ch.net	 [609535295] (29)
1486985073.dat<>【偉人の裏】 「リンカーンはインディアンを徹底的に差別した」「野口英世は借金で遊びまくってた」 ←こういうのもっと教えろ [無断転載禁止]&#169;2ch.net	 [989661427] (382)
1486820097.dat<>メルセデスベンツ乗りが急増。そんなにいいの？ [無断転載禁止]&#169;2ch.net	 [479913954] (599)
1487051280.dat<>可愛い子にチップめちゃ弾むの楽しすぎ。日本にもチップ文化あればいいのに [無断転載禁止]&#169;2ch.net	 [914788572] (14)
1486907532.dat<>ウメハラが総当りリーグ戦で全敗　誰だよこいつを神って言った奴 [無断転載禁止]&#169;2ch.net	 [612013792] (905)
1487029108.dat<>バレンタインチョコを何個もらったか報告し合おう。※義理チョコも含む [無断転載禁止]&#169;2ch.net	 [382134853] (216)
1486985080.dat<>お前らいい加減に目を覚ませよ、周りは車の免許も持ってるし結婚もして子供もいる、嫌儲に流されるな、ここは底無し沼 [無断転載禁止]&#169;2ch.net	 [875920232] (32)
1486989632.dat<>声優交際スレに謎の怪文書が書き込まれる。あやねる関係か？ [無断転載禁止]&#169;2ch.net	 [303493227] (478)
1486894973.dat<>【愛国】コンス竹田の弟子・吉木誉絵さん「日本人よルーツを忘れるな！神話は誇りです！八紘一字の精神で日本は建国された」 [無断転載禁止]&#169;2ch.net	 [716042168] (89)
1486895484.dat<>ネトウヨ「テコンドーは空手のパクリ！」韓国人「空手じゃないんだよ」ネトウヨ「パクリ！パクリ！」← ソース出せよ [無断転載禁止]&#169;2ch.net	 [204160824] (59)
1487032518.dat<>【逆張りおじさん】伊集院「電通社員自殺にあんだけ文句言ってた連中が同じように追い詰められた女性にそういうことを言うのは違う」 [無断転載禁止]&#169;2ch.net	 [388685895] (591)
1486995928.dat<>JC2柳沢樹里愛さんが自殺、学校はいじめを認識　福島・南相馬 [無断転載禁止]&#169;2ch.net	 [163221131] (47)
1486998116.dat<>総務省「地デジも4K化しまぁす！見たい人は買い替えてね！」 [無断転載禁止]&#169;2ch.net	 [649717704] (360)
1487035365.dat<>【悲報】愛国幼稚園の副園長「インフルエンザは風邪と変わらないと思います」 [無断転載禁止]&#169;2ch.net	 [511393199] (260)
1486998248.dat<>小林よしのり「昔の漫画は絵が下手だからこそ個性があった。今は画力のある、上手い漫画家ばかりになって、漫画誌は衰退に向かっている」 [無断転載禁止]&#169;2ch.net	 [418558609] (264)
1487049111.dat<>ベンツ販売台数の内訳で日本が韓国にボロ負け [無断転載禁止]&#169;2ch.net	 [479913954] (15)
1486985653.dat<>【朗報】金融資産1億円以上の富裕層の資産に年7％の『富裕税』を課税するだけで消費税を無くせる、という不都合な真実 [無断転載禁止]&#169;2ch.net	 [786648259] (63)
1486990754.dat<>(： ´ん`)「えと…『天体の…メｿッﾄﾞ』を…み、観て来ました」 ( ^-^)「…」 (； ´ん`)「あの…クリアファイル」 [無断転載禁止]&#169;2ch.net	 [399583221] (113)
1486901578.dat<>店員｢ポイントカードはお持ちですか？｣俺｢あのさぁ！毎回聞いてくるけど顔覚えてないの？｣店員｢はい｣俺｢え…｣何も言い返せんかったわ [無断転載禁止]&#169;2ch.net	 [875920232] (157)
1487050526.dat<>最近の無料アンチウイルスソフトの広告のうざさは異常。ESET買えってことかよ [無断転載禁止]&#169;2ch.net	 [716259949] (9)
1487049839.dat<>【悲報】「売りスレ」とかいうアニメのBD/DVDの売り上げで大人が喧嘩してる非常に気持ち悪いスレがあるらしい [無断転載禁止]&#169;2ch.net	 [222623506] (16)
1487004984.dat<>社会学者「日本の人口減少はもう無理です諦めなさい。でも移民はリスクがあるので嫌です。日本はゆっくり滅ぶしかない」 [無断転載禁止]&#169;2ch.net	 [716042168] (91)
1487000168.dat<>清水富美加「だれか きづいてくれますように また ひとつのじじつが もう けされそう」 これは誰かへの暗号ではないか [無断転載禁止]&#169;2ch.net	 [275723402] (553)
1487040754.dat<>アディーレ法律事務所、顧客を過払い金請求からB型肝炎訴訟・給付金へシフトし始める [無断転載禁止]&#169;2ch.net	 [875920232] (45)
1486893348.dat<>東京裁判はデタラメ、ノーカウント　ノーカン！ノーカン！ノーカン！ [無断転載禁止]&#169;2ch.net	 [743790983] (39)
1486981400.dat<>【速報】安倍晋三記念小学校　開校 [無断転載禁止]&#169;2ch.net	 [294663652] (991)
